# equation of state: murnaghan.        chisq =   0.7005D-11
# V0 =  711.52 a.u.^3,  k0 = 1038 kbar,  dk0 =  9.00  d2k0 =  0.000  emin =  -36.88805
# V0 =  105.44  Ang^3,  k0 = 103.8 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang^3         Ry           Ry            Ry        GPa           Ry
##########################################################################
  104.39     -36.88779     -36.88779     0.00000       1.08      -36.83599
  104.56     -36.88787     -36.88787    -0.00000       0.90      -36.84479
  104.73     -36.88793     -36.88793     0.00000       0.72      -36.85347
  104.90     -36.88798     -36.88798    -0.00000       0.54      -36.86203
  105.07     -36.88801     -36.88802     0.00001       0.36      -36.87046
  105.24     -36.88804     -36.88804    -0.00000       0.19      -36.87880
  105.41     -36.88805     -36.88805    -0.00000       0.02      -36.88701
  105.59     -36.88804     -36.88804     0.00000      -0.15      -36.89510
  105.76     -36.88802     -36.88802     0.00000      -0.31      -36.90309
  105.93     -36.88799     -36.88799     0.00000      -0.47      -36.91097
  106.10     -36.88795     -36.88795    -0.00000      -0.63      -36.91874
